Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.859,0.17771084337349397,0.8676470588235294,0.295,0.9338920350748996
Random Forest,0.989,0.9423076923076923,0.7205882352941176,0.8166666666666667,0.9781314699792961
XGBoost,0.9865,0.7808219178082192,0.8382352941176471,0.8085106382978723,0.9755130312994763
