Feature,Importance
power_proxy,0.21391025577695724
tool_wear,0.2060632836347215
torque,0.17054827231650263
rotational_speed,0.1520898222731088
temp_diff,0.13035232436530422
air_temperature,0.06393320359153501
process_temperature,0.03962565483384019
type_L,0.015356204711544408
type_M,0.00812097849648602
